"Applications","Capacitance","Comment","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Description","Device Package","Failure Rate","Features","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Height - Seated (Max)","LastUpdated","Lead Spacing","Lead Style","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Ratings","Series","Size / Dimension","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Library Path","Library Ref","Temperature Coefficient","Thickness (Max)","Tolerance","Type","Value","Voltage - Rated"
General Purpose,"150pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C151F5GAC7867.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C151F5GAC7867/399-14269-1-ND/6827260,"","","","","","","","",CAP CER 150PF 50V NP0 0402,"0402 (1005 Metric)","",Low ESL,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.510000","","",Active,KEMET,C0402C151F5GAC7867,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1709",Active,"0.43","",SMD Comm C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-14269-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±1%,"","150pF","50V"
General Purpose,"33pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C330F5GACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C330F5GACTU/399-11121-1-ND/4357791,"","","","","","","","",CAP CER 33PF 50V C0G/NP0 0402,"0402 (1005 Metric)","",Low ESL,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.507000","","",Active,KEMET,C0402C330F5GACTU,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1710",Active,"0.44","",SMD Comm C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-11121-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±1%,"","33pF","50V"
"RF, Microwave, High Frequency, Bypass, Decoupling","2.7pF",=Value,Datasheet,http://www.atceramics.com/UserFiles/600l.pdf,DigiKey Link,http://digikey.com/product-detail/en/american-technical-ceramics/600L2R7AT200T/1284-1122-1-ND/3905324,"","","","","","","","",CAP CER 2.7PF 200V C0G/NP0 0402,"0402 (1005 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.503000","","",Active,American Technical Ceramics,"600L2R7AT200T","1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1711",Active,"0.46","",ATC 600L,"0.040 L x 0.020 W (1.02mm x 0.51mm)",DigiKey,"1284-1122-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.024 (0.60mm)",±0.05pF,"","2.7pF","200V"
General Purpose,"0.22uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/6c8d48ef-fc2b-4752-ae2c-ce6c208de0c4/High-Capacitance-Chip.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-novacap/0402BW224K160YT/1763-1189-1-ND/7304304,"","","","","","","","",CAP CER 0.22UF 16V X5R 0402,"0402 (1005 Metric)","","",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.500000","","",Active,Knowles Novacap,"0402BW224K160YT","1","Surface Mount, MLCC",-55°C ~ 85°C,"0402 (1005 Metric)",TapeAndReel,"1712",Active,"0.47","",-,"0.040 L x 0.020 W (1.02mm x 0.51mm)",DigiKey,"1763-1189-1-ND","","","","","","","","","","",,capacitors\capacitor,X5R,"0.024 (0.61mm)",±10%,"","0.22uF","16V"
General Purpose,"0.047uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/6c8d48ef-fc2b-4752-ae2c-ce6c208de0c4/High-Capacitance-Chip.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-novacap/0402BB473K160NGT/1763-1145-1-ND/7304106,"","","","","","","","",CAP CER 0.047UF 16V X7R 0402,"0402 (1005 Metric)","",Gold Flash Termination,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.497000","","",Active,Knowles Novacap,"0402BB473K160NGT","1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1713",Active,"0.47","",-,"0.040 L x 0.020 W (1.02mm x 0.51mm)",DigiKey,"1763-1145-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.024 (0.61mm)",±10%,"","0.047uF","16V"
General Purpose,"36pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C360F5GACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C360F5GAC7867/399-14450-1-ND/7103742,"","","","","","","","",CAP CER 36PF 50V NP0 0402,"0402 (1005 Metric)","",Low ESL,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.493000","","",Active,KEMET,C0402C360F5GAC7867,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1714",Active,"0.48","",SMD Comm C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-14450-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±1%,"","36pF","50V"
General Purpose,"2200pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C222F4GACTU.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C222F4GAC7867/399-14433-1-ND/7103725,"","","","","","","","",CAP CER 2200PF 16V NP0 0402,"0402 (1005 Metric)","",Low ESL,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.490000","","",Active,KEMET,C0402C222F4GAC7867,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1715",Active,"0.51","",SMD Comm C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-14433-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±1%,"","2200pF","16V"
"RF, Microwave, High Frequency, Bypass, Decoupling","3.3pF",=Value,Datasheet,http://www.atceramics.com/UserFiles/600l.pdf,DigiKey Link,http://digikey.com/product-detail/en/american-technical-ceramics/600L3R3AT200T/1284-1869-1-ND/8269403,"","","","","","","","",CAP CER 3.3PF 200V NP0 0402,"0402 (1005 Metric)","","High Q, Low Loss, Ultra Low ESR",,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.487000","","",Active,American Technical Ceramics,"600L3R3AT200T","1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1716",Active,"0.53","",ATC 600L,"0.040 L x 0.020 W (1.02mm x 0.51mm)",DigiKey,"1284-1869-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.024 (0.60mm)",±0.05pF,"","3.3pF","200V"
General Purpose,"0.022uF",=Value,Datasheet,https://www.knowlescapacitors.com/getattachment/6c8d48ef-fc2b-4752-ae2c-ce6c208de0c4/High-Capacitance-Chip.aspx,DigiKey Link,http://digikey.com/product-detail/en/knowles-novacap/0402BB223K500NGT/1763-1160-1-ND/7304110,"","","","","","","","",CAP CER 0.022UF 50V X7R 0402,"0402 (1005 Metric)","",Gold Flash Termination,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.483000","","",Active,Knowles Novacap,"0402BB223K500NGT","1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1717",Active,"0.59","",-,"0.040 L x 0.020 W (1.02mm x 0.51mm)",DigiKey,"1763-1160-1-ND","","","","","","","","","","",,capacitors\capacitor,X7R,"0.024 (0.61mm)",±10%,"","0.022uF","50V"
Automotive,"4.7pF",=Value,Datasheet,https://api.kemet.com/component-edge/download/datasheet/C0402C479C5GACAUTO.pdf,DigiKey Link,http://digikey.com/product-detail/en/kemet/C0402C479C5GACAUTO/399-17559-1-ND/8572559,"","","","","","","","",CAP CER SMD 0402 4.7PF .25PF% CO,"0402 (1005 Metric)","",Low ESL,,,,"C0402N,C0402L,C0402M",,,"","2020-09-02 01:02:25.467000","","",Active,KEMET,C0402C479C5GACAUTO,"1","Surface Mount, MLCC",-55°C ~ 125°C,"0402 (1005 Metric)",TapeAndReel,"1718",Active,"0.02",AEC-Q200,SMD Auto C0G,"0.039 L x 0.020 W (1.00mm x 0.50mm)",DigiKey,"399-17559-1-ND","","","","","","","","","","",,capacitors\capacitor,"C0G, NP0","0.022 (0.55mm)",±0.25pF,"","4.7pF","50V"
