Part Type,Part Number,Schematic Part,Part Value,Tolerance,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Temperature Coefficient,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
Resistor,RK73B3ATTE473J,resistors\2512_6432Metric,47k,±5%,,"R2512N,R2512L,R2512M",2512 (6432 Metric),R,1W,,http://www.koaspeer.com/catimages/Products/RK73B/RK73B.pdf,RES 47K OHM 5% 1W 2512,Surface Mount,,2,±200ppm/°C,-55°C ~ 155°C,,"KOA Speer Electronics, Inc.",,,
Resistor,RK73H3ATTE4751F,resistors\2512_6432Metric,4.75k,±1%,,"R2512N,R2512L,R2512M",2512 (6432 Metric),R,1W,,http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf,RES 4.75K OHM 1% 1W 2512,Surface Mount,,2,±100ppm/°C,-55°C ~ 155°C,,"KOA Speer Electronics, Inc.",,,
Resistor,RK73H3ATTE4R75F,resistors\2512_6432Metric,4.75,±1%,,"R2512N,R2512L,R2512M",2512 (6432 Metric),R,1W,,http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf,RES 4.75 OHM 1% 1W 2512,Surface Mount,,2,±200ppm/°C,-55°C ~ 155°C,,"KOA Speer Electronics, Inc.",,,
Resistor,HVCB2512BDE1M00,resistors\2512_6432Metric,1M,±0.1%,,"R2512N,R2512L,R2512M",2512 (6432 Metric),R,2W,,https://www.seielect.com/catalog/sei-hvc.pdf,RES 1M OHM 0.1% 2W 2512,Surface Mount,0.250 L x 0.125 W (6.35mm x 3.18mm),2,±25ppm/°C,-55°C ~ 150°C,,Stackpole Electronics Inc,,,
Resistor,HVCB2512MDM500G,resistors\2512_6432Metric,500G,±20%,,"R2512N,R2512L,R2512M",2512 (6432 Metric),R,2W,,https://www.seielect.com/catalog/sei-hvc.pdf,RES 500G OHM 20% 2W 2512,Surface Mount,0.250 L x 0.125 W (6.35mm x 3.18mm),2,±300ppm/°C,-55°C ~ 150°C,,Stackpole Electronics Inc,,,
Resistor,CSRF2512FTR100,resistors\2512_6432Metric,100m,±1%,,"R2512N,R2512L,R2512M",2512 (6432 Metric),R,2W,,https://www.seielect.com/catalog/sei-csrf.pdf,RES 0.1 OHM 1% 2W 2512,Surface Mount,0.254 L x 0.128 W (6.45mm x 3.25mm),2,±50ppm/°C,-55°C ~ 170°C,,Stackpole Electronics Inc,,,
Resistor,HV733ATTE2204F,resistors\2512_6432Metric,2.2M,±1%,,"R2512N,R2512L,R2512M",2512 (6432 Metric),R,1W,,//media.digikey.com/pdf/Data%20Sheets/KOA%20Speer/HV73_Series.pdf,RES 2.2M OHM 1% 1W 2512,Surface Mount,0.248 L x 0.122 W (6.30mm x 3.10mm),2,±100ppm/°C,-55°C ~ 155°C,,"KOA Speer Electronics, Inc.",,,
Resistor,HV733ATTE4703F,resistors\2512_6432Metric,470k,±1%,,"R2512N,R2512L,R2512M",2512 (6432 Metric),R,1W,,//media.digikey.com/pdf/Data%20Sheets/KOA%20Speer/HV73_Series.pdf,RES 470K OHM 1% 1W 2512,Surface Mount,0.248 L x 0.122 W (6.30mm x 3.10mm),2,±100ppm/°C,-55°C ~ 155°C,,"KOA Speer Electronics, Inc.",,,
Resistor,HV733ATTE1003F,resistors\2512_6432Metric,100k,±1%,,"R2512N,R2512L,R2512M",2512 (6432 Metric),R,1W,,//media.digikey.com/pdf/Data%20Sheets/KOA%20Speer/HV73_Series.pdf,RES 100K OHM 1% 1W 2512,Surface Mount,0.248 L x 0.122 W (6.30mm x 3.10mm),2,±100ppm/°C,-55°C ~ 155°C,,"KOA Speer Electronics, Inc.",,,
Resistor,RK73B3ATTE2R0J,resistors\2512_6432Metric,2,±5%,,"R2512N,R2512L,R2512M",2512 (6432 Metric),R,1W,,http://www.koaspeer.com/catimages/Products/RK73B/RK73B.pdf,RES 2 OHM 5% 1W 2512,Surface Mount,0.248 L x 0.122 W (6.30mm x 3.10mm),2,±200ppm/°C,-55°C ~ 155°C,,"KOA Speer Electronics, Inc.",,,
